العام,صادرات السلع غير النفطية,واردات السلع,الميزان التجاري,الميزان التجاري باللوغاريتم,صادرات االخدمات,واردات الخدمات,الزراعة ـ الغابات ـ والاسماك,التعدين والتحجير,مجموع الموارد الطبيعية,الناتج المحلي الإجمالي,النمو الاقتصادي
1970,118٫8,3٬197,-3٬078,3٫488296834,0,0,6٬389,354٬504,360٬893,484٬433,
1971,31٫0,3٬668,-3٬637,3٫560743301,0,0,6٬641,444٬312,450٬953,583٬801,0٫2051221675
1972,63٫0,4٬708,-4٬645,3٫666985718,0,0,7٬019,561٬527,568٬546,717٬670,0٫2293064025
1973,98,7٬310,-7٬212,3٫858055718,0,0,7٬419,708٬565,715٬984,891٬135,0٫2417052854
1974,283,10٬149,-9٬866,3٫994141111,0,0,7٬776,792٬710,800٬486,1٬035٬748,0٫1622806527
1975,418,14٬823,-14٬405,4٫158513263,0,0,8٬305,649٬547,657٬852,943٬270,-0٫08928614314
1976,428,30٬691,-30٬263,4٫480911978,0,0,8٬942,806٬356,815٬298,1٬111٬370,0٫178209742
1977,431,51٬662,-51٬231,4٫709532833,0,0,13٬799,863٬425,877٬225,1٬190٬204,0٫07093359899
1978,490,69٬180,-68٬690,4٫836893516,0,0,12٬131,781٬780,793٬911,1٬128٬079,-0٫05219726067
1979,504,82٬223,-81٬719,4٫912323044,0,0,10٬548,898٬249,908٬796,1٬262٬539,0٫1191943156
1980,519,100٬350,-99٬831,4٫999265421,0,0,11٬907,940٬078,951٬985,1٬333٬904,0٫05652457601
1981,2٬954,119٬298,-116٬344,5٫065743991,0,0,12٬452,930٬481,942٬933,1٬359٬821,0٫01943004458
1982,3٬278,139٬335,-136٬057,5٫133720891,0,0,13٬410,622٬185,635٬595,1٬077٬932,-0٫2072988831
1983,3٬565,135٬417,-131٬852,5٫120086722,0,0,14٬598,437٬655,452٬253,904٬909,-0٫1605138621
1984,4٬450,118٬737,-114٬287,5٫057996833,0,0,17٬418,397٬263,414٬681,862٬727,-0٫04661451926
1985,5٬601,85٬564,-79٬963,4٫902886907,0,0,20٬611,310٬611,331٬221,778٬227,-0٫09794502265
1986,7٬864,70٬780,-62٬916,4٫798758343,0,0,23٬704,458٬889,482٬593,910٬625,0٫1701274626
1987,10٬379,75٬312,-64٬933,4٫812466806,0,0,27٬614,399٬713,427٬327,850٬228,-0٫06632496015
1988,15٬620,81٬606,-65٬986,4٫819453119,0,0,30٬632,497٬188,527٬820,961٬687,0٫1310931294
1989,16٬005,79٬277,-63٬272,4٫801212935,0,0,32٬799,490٬367,523٬166,956٬849,-0٫005030158814
1990,16٬056,90٬282,-74٬226,4٫870556057,0,0,33٬733,620٬399,654٬133,1٬102٬228,0٫1519342589
1991,15٬317,108٬934,-93٬617,4٫97135472,0,0,34٬733,780٬836,815٬570,1٬267٬649,0٫1500788025
1992,14٬082,124٬606,-110٬524,5٫043456201,0,0,36٬828,804٬477,841٬305,1٬318٬197,0٫03987540164
1993,14٬134,105٬616,-91٬482,4٫961337075,0,0,38٬117,776٬932,815٬049,1٬300٬220,-0٫01363741432
1994,16٬761,87٬193,-70٬432,4٫847770021,0,0,37٬279,779٬489,816٬768,1٬307٬485,0٫005587201899
1995,24٬320,105٬187,-80٬867,4٫907771332,0,0,37٬815,779٬471,817٬285,1٬310٬258,0٫002120913449
1996,24٬181,103٬979,-79٬798,4٫901992007,0,0,37٬613,788٬983,826٬597,1٬344٬815,0٫02637424215
1997,27٬672,107٬643,-79٬971,4٫902932527,0,0,38٬928,780٬219,819٬148,1٬359٬658,0٫01103782052
1998,23٬416,112٬397,-88٬981,4٫949297282,0,0,39٬344,804٬993,844٬337,1٬398٬998,0٫02893362521
1999,21٬786,104٬980,-83٬194,4٫920092006,0,0,40٬181,737٬511,777٬692,1٬346٬350,-0٫03763285218
2000,24٬805,113٬240,-88٬435,4٫94662418,0,0,41٬782,790٬846,832٬629,1٬422٬088,0٫05625416146
2001,30٬693,116٬931,-86٬238,4٫935698676,0,0,41٬900,758٬021,799٬922,1٬404٬870,-0٫01210743868
2002,32٬436,121٬089,-88٬653,4٫947693437,0,0,42٬404,700٬348,742٬752,1٬365٬264,-0٫02819174403
2003,41٬148,156٬391,-115٬243,5٫061614555,0,0,42٬781,825٬901,868٬681,1٬518٬748,0٫1124206139
2004,57٬186,177٬659,-120٬473,5٫080889725,0,0,44٬264,882٬977,927٬241,1٬639٬617,0٫07958441666
2005,71٬263,204٬573,-133٬310,5٫124864032,42٬754,124٬105,44٬616,921٬332,965٬948,1٬731٬006,0٫05573850122
2006,85٬527,239٬359,-153٬832,5٫187047608,53٬185,185٬680,45٬114,908٬380,953٬494,1٬779٬274,0٫02788402224
2007,104٬470,309٬534,-205٬064,5٫311889326,61٬477,236٬462,45٬987,872٬237,918٬223,1٬812٬139,0٫01847130255
2008,121٬692,380٬451,-258٬759,5٫412895531,35٬149,282٬116,46٬562,911٬748,958٬310,1٬925٬394,0٫06249772752
2009,109٬662,326٬541,-216٬879,5٫336217302,36٬560,281٬218,47٬148,821٬211,868٬359,1٬885٬745,-0٫02059249189
2010,134٬609,365٬367,-230٬758,5٫363156314,40٬082,287٬895,51٬878,820٬990,872٬868,1٬980٬777,0٫05039492888
2011,176٬569,449٬853,-273٬284,5٫436613554,43٬221,292٬562,54٬592,929٬689,984٬281,2٬198٬539,0٫1099376163
2012,190٬952,531٬747,-340٬795,5٫532492998,41٬437,275٬276,56٬315,977٬508,1٬033٬823,2٬317٬863,0٫05427394266
2013,202٬549,575٬039,-372٬490,5٫571114175,44٬417,287٬444,58٬841,963٬586,1٬022٬427,2٬383٬930,0٫02850342991
2014,217٬122,594٬232,-377٬110,5٫576468202,46٬936,377٬044,61٬855,972٬683,1٬034٬538,2٬479٬946,0٫04027651215
2015,189٬850,597٬267,-407٬417,5٫610038884,54٬277,330٬135,64٬717,1٬018٬390,1٬083٬107,2٬596٬259,0٫04690145073
2016,177٬799,479٬413,-301٬614,5٫479451151,64٬697,263٬501,68٬129,1٬046٬635,1٬114٬764,2٬657٬611,0٫02363074579
2017,193٬579,462٬752,-269٬174,5٫430032775,67٬994,294٬656,71٬151,1٬009٬896,1٬081٬046,2٬655٬758,-0٫0006969801561
2018,235٬510,471٬141,-235٬631,5٫372233237,76٬985,314٬819,72٬779,1٬038٬842,1٬111٬621,2٬729٬117,0٫02762243738
2019,229٬236,526٬054,-296٬818,5٫472490365,90٬910,294٬974,74٬407,1٬004٬865,1٬079٬273,2٬751٬831,0٫008322803268
2020,204٬392,472٬199,-267٬807,5٫427822103,33٬690,210٬990,73٬173,944٬572,1٬017٬745,2٬632٬363,-0٫04341387678
2021,277٬620,524٬006,-246٬386,5٫391615336,38٬637,274٬804,75٬109,934٬099,1٬009٬209,2٬735٬597,0٫03921724119
2022,315٬775,659٬957,-344٬182,5٫536788087,119٬597,310٬503,78٬044,1٬083٬234,1٬161٬279,2٬974٬802,0٫08744153628
